action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,mesh_size__um_,net_dim___cm_,net_length__cm_,line_out_depth,pressure_transducer_depth,sample_style,volume,lugols,collected,preserved,analyzed,lab_technician,analyzing_lab,row_flag,quality_level,comments,quality_log
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1452,M,50.0307000000001,-125.0992,50.0315,-125.10048,,,,5,5.7747564,Grab Sample,250,true,2021-01-06T18:22:00.000Z,2021-01-06T21:36:00.000Z,,emma.myers;eva.jordison;meagan.abele,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by MA
,11334133,1,2021-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1453,M,50.0307000000001,-125.0992,50.028753,-125.099343,,,,5,7.1630354,Grab Sample,250,true,2021-01-13T18:35:00.000Z,2021-01-13T23:43:00.000Z,,eva.jordison;faye.manning,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by MA
,11958306,1,2021-01-20,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1457,M,50.0307000000001,-125.0992,,,,,,5,5.6830448,Grab Sample,250,true,2021-01-20T17:53:00.000Z,2021-01-20T22:47:00.000Z,,emma.myers;jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by MA
,11958698,1,2021-01-27,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1458,M,50.0307000000001,-125.0992,50.030208,-125.101074,,,,5,6.1542541,Grab Sample,250,true,2021-01-27T17:56:00.000Z,2021-01-27T22:43:00.000Z,,emma.myers;jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Event metadata QCd by MA2: Sample metadata QCd by EJ
,11961890,1,2021-02-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1459,M,50.0307000000001,-125.0992,50.031029,-125.10088,,,,5,5.8233461,Grab Sample,250,true,2021-02-04T17:34:00.000Z,2021-02-04T22:13:00.000Z,,eva.jordison;jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Phyto metadata QCd by EJ2: Event metadata QCd by MA
,12591741,1,2021-02-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1460,M,50.0307000000001,-125.0992,50.02869,-125.098727,,,,5,5.86047,Grab Sample,250,true,2021-02-10T17:44:00.000Z,2021-02-10T21:00:00.000Z,,chris.mackenzie;emma.myers;faye.manning;jonathan.bergshoeff,,Collected,Technicianm,,1: Phyto metadata QCd by EJ2: Event metadata QC'd by JB
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1461,M,50.0307000000001,-125.0992,50.03226,-125.099051,,,,5,6.5918119,Grab Sample,250,true,2021-02-19T17:20:00.000Z,2021-02-19T21:04:00.000Z,,jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Phyto metadata QCd by EJ2: Event metadata QCd by EJ
,12590408,1,2021-02-23,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1463,M,50.0307000000001,-125.0992,50.030847,-125.098898,,,,5,5.8596617,Grab Sample,250,true,2021-02-23T17:39:00.000Z,2021-02-23T21:05:00.000Z,,eva.jordison;jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Phyto metadata QCd by EJ2: Event Metadata QCd by MA
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1464,M,50.0307000000001,-125.0992,,,,,,5,5.461033,Grab Sample,250,true,2021-03-09T17:20:00.000Z,2021-03-09T22:04:00.000Z,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: PHYTO Metadata QCd by FM
,13230055,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1465,M,50.0307000000001,-125.0992,50.029001,-125.098322,,,,5,5.7696533,Grab Sample,250,true,2021-03-16T16:46:00.000Z,2021-03-16T20:45:00.000Z,,faye.manning;meagan.abele,,Collected,Technicianm,,1: Event Metadata QCd by FM2: PHYTO Metadata QCd by FM
